,text,dialect
0,يعيشك ترحب بيك الجنة,DZ
1,اكيد راه الخضرااا هاديك,MA
2,طيب المحطه اللي بالبلد اللي قلبت كلها اشباح فايده,JO
3,مليوووووووون اغنية بتخون,JO
4,فديت الورده النازله صدره ربي يحفظه,IQ
5,طبعا لازم تمدح انا المدح بس انا بيرفع بلده,JO
6,جيش ياكبدي,LY
7,بدنا ياها بدنا الكل,SY
8,بغيت غانعرف اشمن انجاز دار هاد فيصل فجر فمسيرته باش يستاحق بلاصة فالمنتخب,MA
9,يرسل رسالة ويرجع يمسحها اللي يدك الباب ويشرد,IQ
10,الحسين ممكن يحقق انتصار اله حساب الفيصلي حرام جد حرام مش هيك,JO
11,طلعو ليا بزاف عطيني الليان,MA
12,زى النهارده سنين مصر كلها منتظره ايه اللى هيحصل مده ساعه اعطتها القوات المسلحه لمرسى وجماعته تحيامصرالسيسي,AE
13,تدرون شي ضجت كولش واحس الأيام رح نرفع ايران بدال العلم العراقي صدك يعني حرامات العراقيين مو العراق,IQ
14,الخديوي اسماعيل اللي بنى قصور محمد باشا بيحكم مصر القلعة,EG
15,تذكرين التعليق منك ههههههههههه واجبهم يا مشعل بالكويت تعودوا لازم تشكرونا وتحطون اعلان عريض تشكرونا شغل غصبن علينا نسويه وناخذ معاش مو تطوع عشان نشكرهم,KW
16,صح بس متعجبة متفرجين ليش ميحاولون يطفون شي,IQ
17,يعني الحين التفله صارت انظف كلب السفره كلمه تستحي بدها,QA
18,سنودن كشف حاجات الناس تعرفهاش مش مجرد كرر اللي الناس عارفاه شهد شاهد اهلها,EG
19,اللي تصور شنو وضعها,KW
20,الشوق والغلا وثالثهم البعد الدمار اللي يقووولوووون شااااامل,OM
21,بشورتي يا حبة القلب انا أحب إلا سنكرز وما أعطيك هدية العيد,YE
22,بدك حدا بيفهم منهم ليفهمو كلامو للأسف هني مش فاهمين عارفين حالهم شو بدهم بدهم بس يضلو بالشارع يغنو يرقصو بس هيك,LB
23,انا جبت سيرة بنت وشب انا كتبت تعليقما بعرف كلمة تعليق بتعمل تحسس لهاي الدرجة,JO
24,انتقلت للارجنتين قريبه مو بعيده,IQ
25,صحصح معايا وفوقلا تشوف نفسك فوقلو تبغى تكسبنيعامل شعوري بذوقهديلاغانييمنيهاغانيصحصح,YE
26,سنه اقول شاءالله السنه القادمة افضل يصير العكس ماقدر أصنف شغلهم لان ماكو شغل اصلا وواضح مافي خطة تنظيم يمشون نمط تعودوا يملون فراغات بس أعبر حزني لان احنا سباقين الامر والمفروض خبرتنا تخلينا نظهر الامور بجودة عالية واحترافيه,KW
27,سميح عيد ميلاده بتمنى أخر عيد بعيد أمه اخواته اصدقائه بدناياهبدناالكل,SY
28,امين يارب حبيبي الله يشفيه,DZ
29,وع هذولا شلون يتنظفون,QA
