,text,dialect
0,يعيشك ترحب بيك الجنة,DZ
1,امين يارب حبيبي الله يشفيه,DZ
2,انتي حتولعي ليه فكرة تنظيم كاس افريقيا حتستفادو منو مش العكس الناس جاية بفلوسها مش قاعدين فبيتك ياكلو ويشربو يا ذكية,DZ
3,ممكن هك خير تهنينا مرض السكر مرة المنتخب مش يروح بعيد بهذه الطريقة الجزايرنيجيريا,DZ
4,انا قسنطينية واكيد واش صرا ووجعني قلبي بصح اختي كوني شوية حيادية وشوفي شكون بدا الضرب يعني مناصرين قسنطينة رجعو الثار مش العكس واش دارو وضد واش قولتي يرجع الثار احنا ولاد بلاد وحدة واش خلينا للبراني ربي يهدينا كامل,DZ
5,اييييي والله راحت فسدت العقلية اصلا عادو يشوفو الاساتذة دراهم يقلك مايقريوش ويتسببو عادي تلقايها تعرشلها علئ الزيادة,DZ
6,عساف جاية يعمل حفلة ويسافر مش الماتش,DZ
7,حفل مقصود حوايج ثانية نمي مظاهرات وتشوفو تحرش وين حفل والحشر وداب راكب مولاه,DZ
8,وكنزة عملت لوك اشقر عايزة مين سهيلة ماعملت اللوك تصبح كنزة غيرها ماكنتش عارفة لوك مكتوب حد معين,DZ
9,عيب تباركونا ابن فلسطين والجزائر احنا شعب وفرحنا فرحكم,DZ
10,وين اسارة قدقد منميزش اليمين واليسار,DZ
11,اوك نباركلهم ونفرحولهم بزاف شكرا النصيحة,DZ
12,الله يسلمك يا وجه الخير,DZ
13,بصح منيش مسؤولة العدد لي نرجع بيه ههه,DZ
14,ربي يهديك تجرو تهجمو علاه انا قلتلك باغية نروح يشرفني يروح انا سقسيت لان استغربت وانتي جبتي لخبر,DZ
15,يعيشك عفوفة الفل,DZ
16,الدول ذكرتهم قلوبنا ودعائنا معاهم ولما يحتاجو مساعدة احنا مش مقصرين واقرا مواقف الجزائر,DZ
17,فهمتش انا الحفل الصطاد وهوما دايرين لك ناس نص صطاد علاه صطاد بدون مدرجات كيفاه ويكت حنا عندنا حفلات تبعبيص هذي,DZ
18,يا قلبي لك نصيب كبير دعائي يا طيبة,DZ
19,مش حيديك لان اصلا مشفش التصريح بس شاف فتنة الحق ادخل كلامك كذب فكذب العموم شاء الله ربنا حيخيبك والبطولة لينا وانتو حتتحسبو الكذب والفتن,DZ
20,هههههه شاء الله مابقاش وقت بزاف اصبري يخي ماكيش خدامه,DZ
21,عندها بزاف رد مباركات خلوها تركز ماتحرجوها بطلباتكم تعبت بزاف,DZ
22,ربي يسهل غيرها التويتر معمر والناس قاع تعلق انتي ماتروحيش تشوفي تعليقاتها وماتبعيهاش اصلا بصح مش تلصقي لخسارة,DZ
23,خلي الجزائريين راهم يشجعو فيكم يجاوبو عمركم تنساو عقدتكم الجزائر,DZ
24,كلمهلشخصاتغيرعليك,DZ
25,انا ماتكلمت عارفة تافهه بصح باقي المسابقات المصير بقينا هك شوفي الفرق خبر عاجل,DZ
26,ديما نقولولهم ماتخلونا نرد عليكم وكانو فانز حنان الراقي يرد علينا ويقولو سهيلة ماتستاهل يكلموهم,DZ
27,وانتي اهل الفرح,DZ
28,هذي صورهلكنزهاعجبتني,DZ
29,رامي حط كلام تاع هذاك نشروها وخلاتهم يتلهاو مش حسابو حساب مزور مايصدقو يلقو مشكل يدخلو,DZ
30,مش بس لازم حسابات ومهمتو لازن تنظيم والفانز يعرف وين يتجه,DZ
31,انا مستغربة اصلا لان عمرنا مشكل بينا العكس وقفنا بعضنا بزاف وانا شخصيا كنت تدافع حنان تتهجم للاسف حابين نعرف سبب,DZ
32,حبيبتي ماتهتمي لكلام وسخة قليلة اصل وتربية قولي حسبنا الله ونعم الوكيل وحقنا يرجع لان غلطت فينا كلنا,DZ
33,كف الكتروني بلوك يكفيكعنبعضالردود,DZ
34,والله زعزعت مشاعري تحيا بلادي ويحياو ولاد بلادي وشنانة الحساد,DZ
35,بارك الله فيك مصري اصيل,DZ
36,مسرح الحان وشباب مايركزو الجمهور بزاف شاء الله يتسمع الصوت,DZ
37,مين زودوها حبيبتي راجعي نفسك انا نحب ايهاب وندعمو مرات سهيلة بس كرهنا مشاكل واختراعات مرة طنشو وفوتو زي مانفوتو احنا,DZ
38,مش انا اللي اهرب,DZ
39,مش وقت هاشتاغات كلام الموضوع اصلا شي رسمي,DZ
40,ياناس بليز افهموني انا والله اتكلم المسابقة انا اقصد الباقي مش لازم نستهان فيهم,DZ
